iter	Passed	Remaining
0	61	61357
1	65	32449
2	67	22505
3	70	17580
4	73	14680
5	76	12657
6	79	11236
7	82	10234
8	84	9353
9	87	8667
10	91	8235
11	94	7743
12	97	7408
13	100	7079
14	103	6801
15	106	6574
16	109	6356
17	113	6185
18	116	6016
19	119	5837
20	122	5691
21	124	5555
22	127	5423
23	130	5300
24	133	5206
25	136	5095
26	139	5013
27	141	4913
28	144	4823
29	152	4925
30	156	4887
31	159	4809
32	163	4777
33	165	4710
34	168	4641
35	171	4591
36	174	4543
37	177	4498
38	180	4450
39	183	4401
40	185	4347
41	189	4312
42	191	4269
43	194	4216
44	197	4195
45	200	4156
46	203	4128
47	206	4089
48	208	4053
49	211	4027
50	214	3992
51	217	3958
52	219	3930
53	222	3895
54	224	3860
55	227	3836
56	229	3804
57	232	3771
58	235	3751
59	237	3726
60	241	3712
61	243	3689
62	246	3661
63	248	3634
64	251	3611
65	253	3587
66	256	3566
67	258	3538
68	260	3518
69	263	3498
70	265	3477
71	268	3461
72	271	3444
73	273	3426
74	276	3409
75	278	3389
76	281	3376
77	284	3361
78	286	3345
79	289	3330
80	292	3322
81	295	3305
82	297	3291
83	300	3275
84	302	3261
85	305	3248
86	307	3232
87	310	3218
88	313	3203
89	315	3186
90	317	3173
91	320	3159
92	322	3147
93	325	3137
94	327	3124
95	330	3112
96	333	3100
97	335	3088
98	338	3076
99	340	3066
100	343	3054
101	345	3040
102	347	3029
103	350	3019
104	352	3006
105	355	2995
106	357	2983
107	359	2972
108	362	2961
109	364	2952
110	367	2941
111	371	2941
112	374	2937
113	376	2927
114	379	2918
115	381	2908
116	383	2897
117	386	2887
118	388	2877
119	391	2867
120	393	2859
121	396	2849
122	398	2840
123	401	2834
124	403	2825
125	405	2815
126	408	2808
127	411	2800
128	413	2794
129	417	2790
130	419	2784
131	422	2777
132	425	2774
133	429	2773
134	431	2765
135	433	2756
136	438	2764
137	441	2757
138	443	2747
139	446	2741
140	448	2733
141	451	2725
142	453	2717
143	455	2708
144	458	2703
145	461	2696
146	463	2689
147	465	2680
148	468	2674
149	471	2670
150	473	2663
151	476	2656
152	478	2651
153	481	2646
154	484	2639
155	486	2631
156	489	2627
157	491	2620
158	494	2617
159	497	2611
160	499	2605
161	502	2599
162	504	2592
163	507	2587
164	509	2580
165	512	2573
166	514	2566
167	517	2563
168	519	2556
169	522	2549
170	524	2542
171	526	2536
172	530	2534
173	532	2527
174	534	2520
175	537	2514
176	539	2507
177	541	2501
178	544	2495
179	546	2487
180	548	2481
181	551	2478
182	553	2472
183	556	2466
184	558	2460
185	560	2454
186	563	2449
187	565	2442
188	567	2436
189	570	2431
190	572	2425
191	574	2419
192	577	2413
193	579	2407
194	582	2404
195	584	2398
196	586	2392
197	589	2386
198	591	2381
199	594	2377
200	596	2372
201	599	2368
202	601	2363
203	603	2356
204	606	2352
205	608	2347
206	612	2344
207	614	2339
208	616	2334
209	619	2331
210	622	2326
211	624	2322
212	627	2317
213	629	2312
214	631	2306
215	634	2301
216	636	2296
217	638	2291
218	641	2287
219	643	2282
220	646	2277
221	648	2272
222	650	2267
223	653	2262
224	656	2259
225	658	2254
226	660	2249
227	662	2244
228	665	2241
229	669	2239
230	671	2235
231	673	2230
232	676	2225
233	678	2220
234	680	2216
235	683	2211
236	685	2206
237	687	2201
238	690	2197
239	692	2193
240	694	2188
241	697	2183
242	699	2178
243	701	2174
244	704	2170
245	706	2166
246	709	2161
247	711	2157
248	714	2154
249	716	2150
250	719	2146
251	721	2142
252	723	2137
253	726	2132
254	728	2128
255	731	2126
256	734	2123
257	736	2119
258	739	2116
259	743	2114
260	745	2110
261	747	2106
262	749	2101
263	752	2097
264	754	2092
265	757	2088
266	759	2084
267	761	2080
268	764	2076
269	766	2072
270	768	2068
271	771	2064
272	773	2059
273	775	2055
274	778	2051
275	781	2049
276	783	2045
277	785	2040
278	788	2037
279	790	2033
280	793	2029
281	795	2025
282	798	2022
283	801	2020
284	803	2015
285	805	2011
286	807	2007
287	810	2004
288	813	2000
289	815	1995
290	817	1991
291	819	1987
292	821	1982
293	824	1978
294	826	1975
295	828	1971
296	831	1967
297	833	1964
298	835	1959
299	838	1956
300	840	1952
301	843	1948
302	845	1944
303	847	1940
304	849	1936
305	852	1933
306	855	1930
307	857	1926
308	859	1923
309	862	1919
310	864	1915
311	866	1911
312	869	1908
313	871	1904
314	874	1900
315	876	1897
316	878	1892
317	881	1889
318	883	1886
319	885	1882
320	888	1879
321	890	1875
322	893	1871
323	895	1868
324	898	1866
325	901	1863
326	903	1859
327	905	1855
328	908	1853
329	911	1850
330	913	1847
331	916	1843
332	918	1839
333	920	1835
334	923	1832
335	926	1829
336	928	1826
337	931	1823
338	934	1821
339	937	1819
340	939	1816
341	943	1814
342	946	1812
343	948	1809
344	951	1805
345	953	1802
346	956	1799
347	958	1795
348	960	1791
349	963	1788
350	965	1785
351	967	1781
352	970	1778
353	972	1775
354	975	1771
355	977	1767
356	979	1764
357	981	1760
358	984	1757
359	986	1753
360	988	1749
361	991	1746
